	Gener 22	Febrer 22	Març 22	abril 22	Maig 22	Juny 22	Juliol 22	Agost 22	Setembre 22	octubre 22	Novembre 22	Desembre 22	Gener 23	Febrer 23	Març 23	abril 23	Maig 23	Juny 23	Juliol 23	Agost 23	Setembre 23	octubre 23	Novembre 23	Desembre 23
1. Importe neto de la cifra de negocios	$10,631.82	$1,945.95	$1,746.14	$2,287.00	$2,601.81	$3,568.06	$5,818.87	$4,072.37	$3,588.04	$9,089.00	$3,782.00	$9,067.00	$5,585.89	$8,283.00	$7,785.32	$10,307.53	$10,837.20	$12,845.13	$9,901.46	$11,014.75	$8,648.64	$8,915.30	$8,726.49	$-
a) Ventas	$10,631.82	$1,945.95	$1,746.14	$2,287.00	$2,601.81	$3,568.06	$5,818.87	$4,072.37	$3,588.04	$9,089.00	$3,782.00	$9,067.00	$5,585.89	$8,283.00	$7,785.32	$10,307.53	$10,837.20	$12,845.13	$9,901.46	$11,014.75	$8,648.64	$8,915.30	$8,726.49	$-
70000000 - Ventas de mercaderías	$10,631.82	$1,945.95	$1,746.14	$2,287.00	$2,601.81	$3,568.06	$5,818.87	$4,072.37	$3,588.04	$9,089.00	$3,782.00	$9,067.00	$5,585.89	$8,283.00	$7,785.32	$10,307.53	$10,837.20	$12,845.13	$9,901.46	$11,014.75	$8,648.64	$8,915.30	$8,726.49	$-
																								
6. Gastos de personal	$(4,729.73)	$(9,490.73)	$-	$-	$-	$-	$(4,000.00)	$(4,000.00)	$(4,000.00)	$(2,000.00)	$(2,500.00)	$(2,500.00)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(3,333.34)	$(3,333.34)	$(3,333.34)	$(250.00)	$-
a) Sueldos, salarios y asimilados	$(4,729.73)	$(9,490.73)	$-	$-	$-	$-	$(4,000.00)	$(4,000.00)	$(4,000.00)	$(2,000.00)	$(2,500.00)	$(2,500.00)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(3,333.34)	$(3,333.34)	$(3,333.34)	$(250.00)	$-
64000000 - Sueldos y salarios	$(4,729.73)	$(9,490.73)	$-	$-	$-	$-	$(4,000.00)	$(4,000.00)	$(4,000.00)	$(2,000.00)	$(2,500.00)	$(2,500.00)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(3,333.34)	$(3,333.34)	$(3,333.34)	$(250.00)	$-
																								
7. Otros gastos de explotación	$(367.55)	$(389.24)	$(2,325.57)	$(4,226.06)	$(740.02)	$(608.79)	$(729.92)	$(999.83)	$(1,278.49)	$(1,305.61)	$(1,611.50)	$(3,201.30)	$(5,939.43)	$(3,901.24)	$(2,592.95)	$(2,267.81)	$(6,926.68)	$(4,668.23)	$(4,982.90)	$(1,508.74)	$(4,894.46)	$(1,949.57)	$-	$-
a) Servicios exteriores	$(367.55)	$(389.24)	$(2,325.57)	$(4,226.06)	$(740.02)	$(608.79)	$(729.92)	$(999.83)	$(1,278.49)	$(1,305.61)	$(1,611.50)	$(3,201.30)	$(5,939.43)	$(3,901.24)	$(2,592.95)	$(2,267.81)	$(6,926.68)	$(4,668.23)	$(4,982.90)	$(1,508.74)	$(4,894.46)	$(1,949.57)	$-	$-
